pc11_s_id,pc11_d_id,d_name,year,footprint_m2,volume_m3,mean_height_m
9,139,Baghpat,2018,2.4432675288125005e8,1.6895799960359558e8,0.6915247618655748
9,139,Baghpat,2019,2.6456924080479857e8,1.914709520259912e8,0.7237082868875906
9,139,Baghpat,2020,2.7512914715605474e8,1.9884123764886135e8,0.7227196380472096
9,139,Baghpat,2021,2.6925631646845514e8,2.1340255049525324e8,0.7925628386149839
9,139,Baghpat,2022,2.739967842534199e8,2.03758278382251e8,0.7436520794849723
9,139,Baghpat,2023,2.736947125273936e8,1.7818204125546044e8,0.6510247845494148
9,140,Ghaziabad,2016,5.039057239020641e8,8.467471831620349e8,1.6803682573897558
9,140,Ghaziabad,2017,5.2292137964832264e8,7.92137615851951e8,1.5148311900819256
9,140,Ghaziabad,2018,5.3340701129034543e8,7.727923100034986e8,1.4487854370981454
9,140,Ghaziabad,2019,5.577466964030026e8,8.694457888539206e8,1.558854215472929
9,140,Ghaziabad,2020,5.805809584177008e8,9.307599140503867e8,1.6031526707094457
9,140,Ghaziabad,2021,5.844693262666628e8,9.598924105597987e8,1.6423315431986416
9,140,Ghaziabad,2022,5.912331193157898e8,9.114952167876337e8,1.5416849750272281
9,140,Ghaziabad,2023,6.057751309015892e8,8.70591602706206e8,1.4371530924527791
9,141,Gautam Buddha Nagar,2016,4.246365226698605e8,8.287069390056554e8,1.9515677403235168
9,141,Gautam Buddha Nagar,2017,4.4430390714934886e8,8.175813056412965e8,1.840139806302612
9,141,Gautam Buddha Nagar,2018,4.490593251164292e8,7.841236074368399e8,1.7461470313160459
9,141,Gautam Buddha Nagar,2019,4.6649421729761404e8,8.9321350191413e8,1.9147364936021865
9,141,Gautam Buddha Nagar,2020,4.8320454941114414e8,9.429915598317566e8,1.9515370063898003
9,141,Gautam Buddha Nagar,2021,4.8621771683255196e8,9.840145239742109e8,2.0238146202991913
9,141,Gautam Buddha Nagar,2022,4.9689602061877674e8,9.720089365608217e8,1.9561616439399019
9,141,Gautam Buddha Nagar,2023,5.106018525275007e8,1.0027331379003452e9,1.963825890832111
9,142,Bulandshahr,2016,6.440965380206226e8,4.788454869144395e8,0.7434374486563502
9,142,Bulandshahr,2017,6.987186195695885e8,4.716990060057553e8,0.6750915072169144
9,142,Bulandshahr,2018,7.141785464815793e8,4.849777517142087e8,0.6790707367274826
9,142,Bulandshahr,2019,7.687719621509192e8,5.775077546436963e8,0.751208138532925
9,142,Bulandshahr,2020,8.326436453275163e8,6.035715141858922e8,0.7248857510327607
9,142,Bulandshahr,2021,8.074200189388596e8,6.2096162117054e8,0.7690688942622825
9,142,Bulandshahr,2022,7.937738089317516e8,5.011723829626273e8,0.6313793392063379
9,142,Bulandshahr,2023,8.11253840759965e8,5.1118552692674965e8,0.6301178512115051
9,143,Aligarh,2016,6.058877461438992e8,4.6460435227568567e8,0.7668158916112845
9,143,Aligarh,2017,6.568062956866959e8,4.750040918184737e8,0.7232027082229067
9,143,Aligarh,2018,6.702823132080959e8,4.8409152683675855e8,0.7222203499892551
9,143,Aligarh,2019,7.005183046992569e8,5.680258298094409e8,0.8108650780414695
9,143,Aligarh,2020,7.639770895378065e8,6.12713288053201e8,0.802004793656682
9,143,Aligarh,2021,7.388225748613893e8,6.284729757905474e8,0.8506412732562421
9,143,Aligarh,2022,7.137052340355583e8,4.804410113416411e8,0.6731644780367472
9,143,Aligarh,2023,7.44320919788557e8,5.2158204620410645e8,0.7007488736878105
9,144,Mahamaya Nagar,2016,2.567893524529642e8,1.8863788898038247e8,0.7346016771273064
9,144,Mahamaya Nagar,2017,2.7488795071249235e8,1.9587695217224407e8,0.7125701641870562
9,144,Mahamaya Nagar,2018,2.784362904498545e8,2.0752008259450063e8,0.7453054422583408
9,144,Mahamaya Nagar,2019,2.86773825776731e8,2.360381382328303e8,0.8230811776267154
9,144,Mahamaya Nagar,2020,3.0715447471144307e8,2.3976071467036885e8,0.780586754907649
9,144,Mahamaya Nagar,2021,3.038230722077895e8,2.5599369570309323e8,0.8425749033569611
9,144,Mahamaya Nagar,2022,2.9698250074498695e8,2.0096433020781052e8,0.6766874469158526
9,144,Mahamaya Nagar,2023,3.0673010155670947e8,2.0314016348532897e8,0.6622765827493186
9,145,Mathura,2016,5.0327313423069084e8,4.309609402690819e8,0.8563162047738825
9,145,Mathura,2017,5.316158269269263e8,4.233022770270863e8,0.7962559720504176
9,145,Mathura,2018,5.405895023287338e8,4.6949291337973356e8,0.8684832231430084
9,145,Mathura,2019,5.66053164159804e8,5.040774608188763e8,0.8905125750283217
9,145,Mathura,2020,6.043826833796377e8,5.441426982354573e8,0.9003280755707205
9,145,Mathura,2021,5.931493504422755e8,5.45092714366071e8,0.9189805467368857
9,145,Mathura,2022,5.751070021809666e8,4.341469110482483e8,0.7548976267057117
9,145,Mathura,2023,6.008790103097732e8,4.534402310464177e8,0.7546281751673338
9,146,Agra,2016,6.703169786809589e8,6.202134984535664e8,0.9252540487248504
9,146,Agra,2017,7.016100960341145e8,6.399025735875477e8,0.9120486965689752
9,146,Agra,2018,7.126886953343328e8,7.188168806529927e8,1.0085986846133221
9,146,Agra,2019,7.343241389296377e8,7.411910708036988e8,1.0093513633966473
9,146,Agra,2020,7.562743408853669e8,7.591373017549261e8,1.0037856115364268
9,146,Agra,2021,7.574916781040479e8,7.904204676552136e8,1.043470826813021
9,146,Agra,2022,7.559141924825635e8,6.275383701735418e8,0.8301714353484865
9,146,Agra,2023,7.765857952137944e8,6.538664109074259e8,0.8419757545622067
9,147,Firozabad,2016,3.8052261663864124e8,2.690575138169657e8,0.7070736456973147
9,147,Firozabad,2017,3.8828574243231857e8,2.679686317349195e8,0.6901325556181828
9,147,Firozabad,2018,4.064212363664714e8,2.936883478250244e8,0.7226205757619532
9,147,Firozabad,2019,4.1550161110931754e8,3.138972570198682e8,0.755465799956387
9,147,Firozabad,2020,4.3108180808221513e8,3.244645211862361e8,0.7526750493826332
9,147,Firozabad,2021,4.3909533466556376e8,3.5902627892312855e8,0.8176499511127358
9,147,Firozabad,2022,4.4260836094858694e8,2.842855987398814e8,0.6422960427828516
9,147,Firozabad,2023,4.540285499305262e8,3.0212473239604175e8,0.6654311330031377
9,148,Mainpuri,2016,3.615402462842027e8,2.151736380374367e8,0.5951581884698146
9,148,Mainpuri,2017,3.717237966895259e8,2.179658179066595e8,0.5863649834845269
9,148,Mainpuri,2018,3.905323367921225e8,2.461548019967642e8,0.630305812877643
9,148,Mainpuri,2019,4.054136083623889e8,2.697490294293056e8,0.6653674762396822
9,148,Mainpuri,2020,4.2282224938062197e8,2.4697674401304966e8,0.5841148245505944
9,148,Mainpuri,2021,4.2968424652759266e8,2.977075700514372e8,0.6928519545626851
9,148,Mainpuri,2022,4.256306799575752e8,2.235914430882277e8,0.5253179660604217
9,148,Mainpuri,2023,4.44924048100111e8,2.3820881929839382e8,0.5353920974053422
9,149,Budaun,2016,4.996622150984451e8,3.5704361162691915e8,0.7145699651444991
9,149,Budaun,2017,5.274397987357423e8,3.784613654492453e8,0.7175441943448448
9,149,Budaun,2018,5.735949258416859e8,3.9666461634884703e8,0.6915413621673631
9,149,Budaun,2019,6.1125386915342e8,4.0566027794249773e8,0.6636526955720261
9,149,Budaun,2020,6.655512165096048e8,4.2840946159366083e8,0.6436912005666483
9,149,Budaun,2021,6.967842207144265e8,4.819387619216223e8,0.691661417687503
9,149,Budaun,2022,6.886502696654947e8,3.808510364909465e8,0.5530398422350742
9,149,Budaun,2023,7.307663609801544e8,4.066129195815214e8,0.5564198645325491
9,150,Bareilly,2016,4.876266056920227e8,4.856817183382375e8,0.996011523302702
9,150,Bareilly,2017,5.0661469674575275e8,5.003081248013489e8,0.9875515416648704
9,150,Bareilly,2018,5.3503051466778105e8,5.2892151349176973e8,0.9885819574612401
9,150,Bareilly,2019,5.621853434676048e8,5.655605147093934e8,1.0060036628151319
9,150,Bareilly,2020,5.845364013811849e8,5.737752172878034e8,0.9815902242051064
9,150,Bareilly,2021,6.043494712636069e8,6.426788582043983e8,1.0634225539415965
9,150,Bareilly,2022,6.143981594163221e8,5.506084138156409e8,0.8961752332375452
9,150,Bareilly,2023,6.384743519993489e8,5.949920672926776e8,0.931896583518964
9,151,Pilibhit,2016,3.115177665243067e8,2.3016243396987742e8,0.7388420780550203
9,151,Pilibhit,2017,3.210164992873008e8,2.1696904373813558e8,0.6758812840456351
9,151,Pilibhit,2018,3.3835379564505965e8,2.275160510413138e8,0.6724205667844287
9,151,Pilibhit,2019,3.5523640013980544e8,2.5707634473105657e8,0.723676809667823
9,151,Pilibhit,2020,3.637332411847043e8,2.5490981854794672e8,0.7008152945210282
9,151,Pilibhit,2021,3.7894279221518445e8,2.8715285544998264e8,0.7577736306089219
9,151,Pilibhit,2022,3.826838666436581e8,2.406648965209221e8,0.6288869678036907
9,151,Pilibhit,2023,3.8930535411824065e8,2.5380475996773496e8,0.6519426390695074
9,152,Shahjahanpur,2016,4.44002194895661e8,3.1665577343198854e8,0.7131851532995271
9,152,Shahjahanpur,2017,4.581778329435739e8,3.056656197881099e8,0.667133147460134
9,152,Shahjahanpur,2018,4.886950525039677e8,3.4241818458934814e8,0.700678639644235
9,152,Shahjahanpur,2019,5.1751837394259715e8,3.694101827716501e8,0.7138107579782759
